127.0.0.1 - - [27/May/2021:09:36:25 +0200] "GET / HTTP/1.1" 404 681
127.0.0.1 - - [27/May/2021:09:36:49 +0200] "GET /CDB-Maven/toto HTTP/1.1" 404 699
127.0.0.1 - - [27/May/2021:09:36:56 +0200] "GET /CDB-Maven/dashboard HTTP/1.1" 200 4762
127.0.0.1 - - [27/May/2021:09:36:56 +0200] "GET /CDB-Maven/css/bootstrap.min.css HTTP/1.1" 200 113498
127.0.0.1 - - [27/May/2021:09:36:56 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 729
127.0.0.1 - - [27/May/2021:09:36:56 +0200] "GET /favicon.ico HTTP/1.1" 404 692
127.0.0.1 - - [27/May/2021:09:36:56 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.ttf?v=4.2.0 HTTP/1.1" 404 728
127.0.0.1 - - [27/May/2021:09:36:59 +0200] "GET /CDB-Maven/dashboard?bouton=10 HTTP/1.1" 200 4762
127.0.0.1 - - [27/May/2021:09:36:59 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 729
127.0.0.1 - - [27/May/2021:09:36:59 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.ttf?v=4.2.0 HTTP/1.1" 404 728
127.0.0.1 - - [27/May/2021:09:37:14 +0200] "GET /CDB-Maven/dashboard?bouton=10 HTTP/1.1" 200 4762
127.0.0.1 - - [27/May/2021:09:37:14 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 729
127.0.0.1 - - [27/May/2021:09:37:14 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.ttf?v=4.2.0 HTTP/1.1" 404 728
127.0.0.1 - - [27/May/2021:09:37:14 +0200] "GET /CDB-Maven/js/jquery.min.js HTTP/1.1" 304 -
127.0.0.1 - - [27/May/2021:09:37:14 +0200] "GET /CDB-Maven/js/dashboard.js HTTP/1.1" 304 -
127.0.0.1 - - [27/May/2021:09:37:14 +0200] "GET /CDB-Maven/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [27/May/2021:09:37:14 +0200] "GET /favicon.ico HTTP/1.1" 404 692
127.0.0.1 - - [27/May/2021:09:37:33 +0200] "GET /CDB-Maven/dashboard HTTP/1.1" 200 9624
127.0.0.1 - - [27/May/2021:09:37:33 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 729
127.0.0.1 - - [27/May/2021:09:37:33 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.ttf?v=4.2.0 HTTP/1.1" 404 728
127.0.0.1 - - [27/May/2021:09:37:36 +0200] "GET /CDB-Maven/dashboard?bouton=100 HTTP/1.1" 200 53782
127.0.0.1 - - [27/May/2021:09:37:36 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 729
127.0.0.1 - - [27/May/2021:09:37:36 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.ttf?v=4.2.0 HTTP/1.1" 404 728
