127.0.0.1 - - [02/Jun/2021:10:41:43 +0200] "GET / HTTP/1.1" 404 681
127.0.0.1 - - [02/Jun/2021:10:41:50 +0200] "GET /CDB-Maven/dashboard HTTP/1.1" 200 10288
127.0.0.1 - - [02/Jun/2021:10:41:50 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 729
127.0.0.1 - - [02/Jun/2021:10:41:50 +0200] "GET /CDB-Maven/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Jun/2021:10:41:50 +0200] "GET /CDB-Maven/js/jquery.min.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Jun/2021:10:41:50 +0200] "GET /CDB-Maven/js/dashboard.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Jun/2021:10:41:50 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.ttf?v=4.2.0 HTTP/1.1" 404 728
127.0.0.1 - - [02/Jun/2021:10:41:50 +0200] "GET /favicon.ico HTTP/1.1" 404 692
127.0.0.1 - - [02/Jun/2021:10:41:56 +0200] "GET /CDB-Maven/dashboard?bouton=50 HTTP/1.1" 200 31501
127.0.0.1 - - [02/Jun/2021:10:41:56 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 729
127.0.0.1 - - [02/Jun/2021:10:41:56 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.ttf?v=4.2.0 HTTP/1.1" 404 728
127.0.0.1 - - [02/Jun/2021:10:41:58 +0200] "GET /CDB-Maven/dashboard?bouton=100 HTTP/1.1" 200 57646
127.0.0.1 - - [02/Jun/2021:10:41:58 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 729
127.0.0.1 - - [02/Jun/2021:10:41:58 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.ttf?v=4.2.0 HTTP/1.1" 404 728
127.0.0.1 - - [02/Jun/2021:10:42:00 +0200] "GET /CDB-Maven/dashboard?bouton=50 HTTP/1.1" 200 31501
127.0.0.1 - - [02/Jun/2021:10:42:00 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 729
127.0.0.1 - - [02/Jun/2021:10:42:00 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.ttf?v=4.2.0 HTTP/1.1" 404 728
127.0.0.1 - - [02/Jun/2021:10:42:02 +0200] "GET /CDB-Maven/dashboard?orderBy=name HTTP/1.1" 200 31478
127.0.0.1 - - [02/Jun/2021:10:42:02 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 729
127.0.0.1 - - [02/Jun/2021:10:42:02 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.ttf?v=4.2.0 HTTP/1.1" 404 728
127.0.0.1 - - [02/Jun/2021:10:42:04 +0200] "GET /CDB-Maven/dashboard?orderBy=introduced HTTP/1.1" 200 32133
127.0.0.1 - - [02/Jun/2021:10:42:04 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 729
127.0.0.1 - - [02/Jun/2021:10:42:04 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.ttf?v=4.2.0 HTTP/1.1" 404 728
127.0.0.1 - - [02/Jun/2021:10:42:05 +0200] "GET /CDB-Maven/dashboard?orderBy=discontinued HTTP/1.1" 200 32339
127.0.0.1 - - [02/Jun/2021:10:42:05 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 729
127.0.0.1 - - [02/Jun/2021:10:42:05 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.ttf?v=4.2.0 HTTP/1.1" 404 728
127.0.0.1 - - [02/Jun/2021:10:42:06 +0200] "GET /CDB-Maven/dashboard?orderBy=company HTTP/1.1" 200 31108
127.0.0.1 - - [02/Jun/2021:10:42:06 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 729
127.0.0.1 - - [02/Jun/2021:10:42:06 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.ttf?v=4.2.0 HTTP/1.1" 404 728
127.0.0.1 - - [02/Jun/2021:10:42:10 +0200] "GET /CDB-Maven/dashboard?search=mac HTTP/1.1" 200 31024
127.0.0.1 - - [02/Jun/2021:10:42:10 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 729
127.0.0.1 - - [02/Jun/2021:10:42:10 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.ttf?v=4.2.0 HTTP/1.1" 404 728
127.0.0.1 - - [02/Jun/2021:18:32:44 +0200] "GET /CDB-Maven/dashboard?orderBy=name HTTP/1.1" 200 31440
127.0.0.1 - - [02/Jun/2021:18:32:44 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 729
127.0.0.1 - - [02/Jun/2021:18:32:44 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.ttf?v=4.2.0 HTTP/1.1" 404 728
127.0.0.1 - - [02/Jun/2021:18:32:44 +0200] "GET /favicon.ico HTTP/1.1" 404 692
127.0.0.1 - - [02/Jun/2021:18:32:46 +0200] "GET /CDB-Maven/dashboard?new=1 HTTP/1.1" 200 10288
127.0.0.1 - - [02/Jun/2021:18:32:46 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 729
127.0.0.1 - - [02/Jun/2021:18:32:46 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.ttf?v=4.2.0 HTTP/1.1" 404 728
127.0.0.1 - - [02/Jun/2021:18:32:48 +0200] "GET /CDB-Maven/dashboard?orderBy=name HTTP/1.1" 200 10351
127.0.0.1 - - [02/Jun/2021:18:32:48 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 729
127.0.0.1 - - [02/Jun/2021:18:32:48 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.ttf?v=4.2.0 HTTP/1.1" 404 728
127.0.0.1 - - [02/Jun/2021:18:32:50 +0200] "GET /CDB-Maven/dashboard?orderBy=introduced HTTP/1.1" 200 10492
127.0.0.1 - - [02/Jun/2021:18:32:50 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 729
127.0.0.1 - - [02/Jun/2021:18:32:50 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.ttf?v=4.2.0 HTTP/1.1" 404 728
127.0.0.1 - - [02/Jun/2021:18:32:52 +0200] "GET /CDB-Maven/dashboard?orderBy=discontinued HTTP/1.1" 200 10455
127.0.0.1 - - [02/Jun/2021:18:32:52 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 729
127.0.0.1 - - [02/Jun/2021:18:32:52 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.ttf?v=4.2.0 HTTP/1.1" 404 728
127.0.0.1 - - [02/Jun/2021:18:32:53 +0200] "GET /CDB-Maven/dashboard?orderBy=company HTTP/1.1" 200 10276
127.0.0.1 - - [02/Jun/2021:18:32:53 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 729
127.0.0.1 - - [02/Jun/2021:18:32:53 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.ttf?v=4.2.0 HTTP/1.1" 404 728
127.0.0.1 - - [02/Jun/2021:18:32:54 +0200] "GET /CDB-Maven/addComputer HTTP/1.1" 200 6501
127.0.0.1 - - [02/Jun/2021:18:32:54 +0200] "GET /CDB-Maven/js/verificationAddComputer.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Jun/2021:18:32:58 +0200] "GET /CDB-Maven/dashboard HTTP/1.1" 200 10358
127.0.0.1 - - [02/Jun/2021:18:32:58 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 729
127.0.0.1 - - [02/Jun/2021:18:32:58 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.ttf?v=4.2.0 HTTP/1.1" 404 728
127.0.0.1 - - [02/Jun/2021:18:33:14 +0200] "POST /CDB-Maven/dashboard HTTP/1.1" 302 -
127.0.0.1 - - [02/Jun/2021:18:33:14 +0200] "GET /CDB-Maven/dashboard HTTP/1.1" 200 10352
127.0.0.1 - - [02/Jun/2021:18:33:14 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 729
127.0.0.1 - - [02/Jun/2021:18:33:14 +0200] "GET /CDB-Maven/fonts/fontawesome-webfont.ttf?v=4.2.0 HTTP/1.1" 404 728
